bandwidth,distance,pan1_offload,pan2_offload,pan,best_threshold,TP,FP,FN,TN,precision,recall,fpr,f1,n_interf_seeds,n_no_interf_seeds
100vs100,1300,30,80,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,30,90,PAN1,0.015,89,66,11,34,0.574,0.89,0.66,0.698,100,100
100vs100,1300,30,90,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,30,100,PAN1,0.015,89,66,11,34,0.574,0.89,0.66,0.698,100,100
100vs100,1300,30,100,PAN2,0.015,92,74,8,26,0.554,0.92,0.74,0.692,100,100
100vs100,1300,40,10,PAN1,0.008,100,99,0,1,0.503,1.0,0.99,0.669,100,100
100vs100,1300,40,10,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,40,20,PAN1,0.017,83,61,17,39,0.576,0.83,0.61,0.68,100,100
100vs100,1300,40,20,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,40,30,PAN1,0.018,81,53,19,47,0.604,0.81,0.53,0.692,100,100
100vs100,1300,40,30,PAN2,0.02,76,34,24,66,0.691,0.76,0.34,0.724,100,100
100vs100,1300,40,40,PAN1,0.018,85,53,15,47,0.616,0.85,0.53,0.714,100,100
100vs100,1300,40,40,PAN2,0.02,80,40,20,60,0.667,0.8,0.4,0.727,100,100
100vs100,1300,40,50,PAN1,0.013,93,83,7,17,0.528,0.93,0.83,0.674,100,100
100vs100,1300,40,50,PAN2,0.017,94,80,6,20,0.54,0.94,0.8,0.686,100,100
100vs100,1300,40,60,PAN1,0.011,98,94,2,6,0.51,0.98,0.94,0.671,100,100
100vs100,1300,40,60,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,40,70,PAN1,0.008,100,99,0,1,0.503,1.0,0.99,0.669,100,100
100vs100,1300,40,70,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,40,80,PAN1,0.011,97,94,3,6,0.508,0.97,0.94,0.667,100,100
100vs100,1300,40,80,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,40,90,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,40,90,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,40,100,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,40,100,PAN2,0.008,99,96,1,4,0.508,0.99,0.96,0.671,100,100
100vs100,1300,50,10,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,50,10,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,50,20,PAN1,0.011,100,95,0,5,0.513,1.0,0.95,0.678,100,100
100vs100,1300,50,20,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,50,30,PAN1,0.017,89,74,11,26,0.546,0.89,0.74,0.677,100,100
100vs100,1300,50,30,PAN2,0.021,72,26,28,74,0.735,0.72,0.26,0.727,100,100
100vs100,1300,50,40,PAN1,0.015,96,82,4,18,0.539,0.96,0.82,0.691,100,100
100vs100,1300,50,40,PAN2,0.018,78,53,22,47,0.595,0.78,0.53,0.675,100,100
100vs100,1300,50,50,PAN1,0.016,94,78,6,22,0.547,0.94,0.78,0.691,100,100
100vs100,1300,50,50,PAN2,0.031,68,27,32,73,0.716,0.68,0.27,0.697,100,100
100vs100,1300,50,60,PAN1,0.015,93,82,7,18,0.531,0.93,0.82,0.676,100,100
100vs100,1300,50,60,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,50,70,PAN1,0.011,98,95,2,5,0.508,0.98,0.95,0.669,100,100
100vs100,1300,50,70,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,50,80,PAN1,0.016,90,78,10,22,0.536,0.9,0.78,0.672,100,100
100vs100,1300,50,80,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,50,90,PAN1,0.013,100,93,0,7,0.518,1.0,0.93,0.683,100,100
100vs100,1300,50,90,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,50,100,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,50,100,PAN2,0.015,92,74,8,26,0.554,0.92,0.74,0.692,100,100
100vs100,1300,60,10,PAN1,0.006,100,99,0,1,0.503,1.0,0.99,0.669,100,100
100vs100,1300,60,10,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,60,20,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,60,20,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,60,30,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,60,30,PAN2,0.017,88,55,12,45,0.615,0.88,0.55,0.724,100,100
100vs100,1300,60,40,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,60,40,PAN2,0.018,83,53,17,47,0.61,0.83,0.53,0.703,100,100
100vs100,1300,60,50,PAN1,0.006,100,99,0,1,0.503,1.0,0.99,0.669,100,100
100vs100,1300,60,50,PAN2,0.017,90,80,10,20,0.529,0.9,0.8,0.667,100,100
100vs100,1300,60,60,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,60,60,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,60,70,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,60,70,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,60,80,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,60,80,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,60,90,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,60,90,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,60,100,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,60,100,PAN2,0.01,99,90,1,10,0.524,0.99,0.9,0.685,100,100
100vs100,1300,70,10,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,70,10,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,70,20,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,70,20,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,70,30,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,70,30,PAN2,0.013,96,77,4,23,0.555,0.96,0.77,0.703,100,100
100vs100,1300,70,40,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,70,40,PAN2,0.009,99,97,1,3,0.505,0.99,0.97,0.669,100,100
100vs100,1300,70,50,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,70,50,PAN2,0.011,99,96,1,4,0.508,0.99,0.96,0.671,100,100
100vs100,1300,70,60,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,70,60,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,70,70,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,70,70,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,70,80,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,70,80,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,70,90,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,70,90,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,70,100,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,70,100,PAN2,0.008,99,96,1,4,0.508,0.99,0.96,0.671,100,100
100vs100,1300,80,10,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,80,10,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,80,20,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,80,20,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs100,1300,80,30,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
