bandwidth,distance,pan1_offload,pan2_offload,pan,best_threshold,TP,FP,FN,TN,precision,recall,fpr,f1,n_interf_seeds,n_no_interf_seeds
100vs200,1300,50,10,PAN1,0.015,95,82,5,18,0.537,0.95,0.82,0.686,100,100
100vs200,1300,50,10,PAN2,0.04,98,6,2,94,0.942,0.98,0.06,0.961,100,100
100vs200,1300,50,20,PAN1,0.032,89,29,11,71,0.754,0.89,0.29,0.817,100,100
100vs200,1300,50,20,PAN2,0.021,95,1,5,99,0.99,0.95,0.01,0.969,100,100
100vs200,1300,50,30,PAN1,0.032,84,29,16,71,0.743,0.84,0.29,0.789,100,100
100vs200,1300,50,30,PAN2,0.016,90,21,10,79,0.811,0.9,0.21,0.853,100,100
100vs200,1300,50,40,PAN1,0.025,93,47,7,53,0.664,0.93,0.47,0.775,100,100
100vs200,1300,50,40,PAN2,0.017,73,34,27,66,0.682,0.73,0.34,0.705,100,100
100vs200,1300,50,50,PAN1,0.034,86,24,14,76,0.782,0.86,0.24,0.819,100,100
100vs200,1300,50,50,PAN2,0.034,83,40,17,60,0.675,0.83,0.4,0.744,100,100
100vs200,1300,50,60,PAN1,0.025,88,47,12,53,0.652,0.88,0.47,0.749,100,100
100vs200,1300,50,60,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs200,1300,50,70,PAN1,0.024,90,52,10,48,0.634,0.9,0.52,0.744,100,100
100vs200,1300,50,70,PAN2,0.006,98,95,2,5,0.508,0.98,0.95,0.669,100,100
100vs200,1300,50,80,PAN1,0.025,87,47,13,53,0.649,0.87,0.47,0.744,100,100
100vs200,1300,50,80,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs200,1300,50,90,PAN1,0.025,88,47,12,53,0.652,0.88,0.47,0.749,100,100
100vs200,1300,50,90,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs200,1300,50,100,PAN1,0.022,97,61,3,39,0.614,0.97,0.61,0.752,100,100
100vs200,1300,50,100,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs200,1300,60,10,PAN1,0.006,100,99,0,1,0.503,1.0,0.99,0.669,100,100
100vs200,1300,60,10,PAN2,0.031,96,21,4,79,0.821,0.96,0.21,0.885,100,100
100vs200,1300,60,20,PAN1,0.015,84,59,16,41,0.587,0.84,0.59,0.691,100,100
100vs200,1300,60,20,PAN2,0.02,90,3,10,97,0.968,0.9,0.03,0.933,100,100
100vs200,1300,60,30,PAN1,0.012,96,79,4,21,0.549,0.96,0.79,0.698,100,100
100vs200,1300,60,30,PAN2,0.014,95,31,5,69,0.754,0.95,0.31,0.841,100,100
100vs200,1300,60,40,PAN1,0.011,93,84,7,16,0.525,0.93,0.84,0.671,100,100
100vs200,1300,60,40,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs200,1300,60,50,PAN1,0.012,95,79,5,21,0.546,0.95,0.79,0.693,100,100
100vs200,1300,60,50,PAN2,0.019,97,92,3,8,0.513,0.97,0.92,0.671,100,100
100vs200,1300,60,60,PAN1,0.012,90,79,10,21,0.533,0.9,0.79,0.669,100,100
100vs200,1300,60,60,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs200,1300,60,70,PAN1,0.011,93,84,7,16,0.525,0.93,0.84,0.671,100,100
100vs200,1300,60,70,PAN2,0.003,100,99,0,1,0.503,1.0,0.99,0.669,100,100
100vs200,1300,60,80,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs200,1300,60,80,PAN2,0.004,99,96,1,4,0.508,0.99,0.96,0.671,100,100
100vs200,1300,60,90,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs200,1300,60,90,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs200,1300,60,100,PAN1,0.006,100,99,0,1,0.503,1.0,0.99,0.669,100,100
100vs200,1300,60,100,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs200,1300,70,10,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs200,1300,70,10,PAN2,0.032,96,19,4,81,0.835,0.96,0.19,0.893,100,100
100vs200,1300,70,20,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs200,1300,70,20,PAN2,0.016,94,21,6,79,0.817,0.94,0.21,0.874,100,100
100vs200,1300,70,30,PAN1,0.007,99,95,1,5,0.51,0.99,0.95,0.673,100,100
100vs200,1300,70,30,PAN2,0.014,88,31,12,69,0.739,0.88,0.31,0.804,100,100
100vs200,1300,70,40,PAN1,0.007,98,95,2,5,0.508,0.98,0.95,0.669,100,100
100vs200,1300,70,40,PAN2,0.008,99,97,1,3,0.505,0.99,0.97,0.669,100,100
100vs200,1300,70,50,PAN1,0.009,93,86,7,14,0.52,0.93,0.86,0.667,100,100
100vs200,1300,70,50,PAN2,0.008,100,99,0,1,0.503,1.0,0.99,0.669,100,100
100vs200,1300,70,60,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs200,1300,70,60,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs200,1300,70,70,PAN1,0.007,99,95,1,5,0.51,0.99,0.95,0.673,100,100
100vs200,1300,70,70,PAN2,0.003,100,99,0,1,0.503,1.0,0.99,0.669,100,100
100vs200,1300,70,80,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs200,1300,70,80,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs200,1300,70,90,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs200,1300,70,90,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs200,1300,70,100,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs200,1300,70,100,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs200,1300,80,10,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs200,1300,80,10,PAN2,0.031,95,21,5,79,0.819,0.95,0.21,0.88,100,100
100vs200,1300,80,20,PAN1,0.008,93,83,7,17,0.528,0.93,0.83,0.674,100,100
100vs200,1300,80,20,PAN2,0.021,85,1,15,99,0.988,0.85,0.01,0.914,100,100
100vs200,1300,80,30,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs200,1300,80,30,PAN2,0.014,89,31,11,69,0.742,0.89,0.31,0.809,100,100
100vs200,1300,80,40,PAN1,0.007,95,90,5,10,0.514,0.95,0.9,0.667,100,100
100vs200,1300,80,40,PAN2,0.015,78,53,22,47,0.595,0.78,0.53,0.675,100,100
100vs200,1300,80,50,PAN1,0.007,99,90,1,10,0.524,0.99,0.9,0.685,100,100
100vs200,1300,80,50,PAN2,0.013,100,98,0,2,0.505,1.0,0.98,0.671,100,100
100vs200,1300,80,60,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs200,1300,80,60,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs200,1300,80,70,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs200,1300,80,70,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs200,1300,80,80,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs200,1300,80,80,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs200,1300,80,90,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs200,1300,80,90,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs200,1300,80,100,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs200,1300,80,100,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs200,1300,90,10,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs200,1300,90,10,PAN2,0.031,90,21,10,79,0.811,0.9,0.21,0.853,100,100
100vs200,1300,90,20,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs200,1300,90,20,PAN2,0.017,90,13,10,87,0.874,0.9,0.13,0.887,100,100
100vs200,1300,90,30,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs200,1300,90,30,PAN2,0.013,92,38,8,62,0.708,0.92,0.38,0.8,100,100
100vs200,1300,90,40,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs200,1300,90,40,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs200,1300,90,50,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs200,1300,90,50,PAN2,0.008,100,99,0,1,0.503,1.0,0.99,0.669,100,100
100vs200,1300,90,60,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs200,1300,90,60,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs200,1300,90,70,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs200,1300,90,70,PAN2,0.003,100,99,0,1,0.503,1.0,0.99,0.669,100,100
100vs200,1300,90,80,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs200,1300,90,80,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs200,1300,90,90,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs200,1300,90,90,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs200,1300,90,100,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs200,1300,90,100,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs200,1300,100,10,PAN1,0.012,97,90,3,10,0.519,0.97,0.9,0.676,100,100
100vs200,1300,100,10,PAN2,0.045,95,5,5,95,0.95,0.95,0.05,0.95,100,100
100vs200,1300,100,20,PAN1,0.02,93,54,7,46,0.633,0.93,0.54,0.753,100,100
100vs200,1300,100,20,PAN2,0.02,94,3,6,97,0.969,0.94,0.03,0.954,100,100
100vs200,1300,100,30,PAN1,0.02,92,54,8,46,0.63,0.92,0.54,0.748,100,100
100vs200,1300,100,30,PAN2,0.015,93,26,7,74,0.782,0.93,0.26,0.849,100,100
100vs200,1300,100,40,PAN1,0.024,84,44,16,56,0.656,0.84,0.44,0.737,100,100
100vs200,1300,100,40,PAN2,0.014,79,58,21,42,0.577,0.79,0.58,0.667,100,100
100vs200,1300,100,50,PAN1,0.027,83,35,17,65,0.703,0.83,0.35,0.761,100,100
100vs200,1300,100,50,PAN2,0.029,92,57,8,43,0.617,0.92,0.57,0.739,100,100
100vs200,1300,100,60,PAN1,0.02,84,54,16,46,0.609,0.84,0.54,0.706,100,100
100vs200,1300,100,60,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs200,1300,100,70,PAN1,0.02,87,54,13,46,0.617,0.87,0.54,0.722,100,100
100vs200,1300,100,70,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs200,1300,100,80,PAN1,0.02,90,54,10,46,0.625,0.9,0.54,0.738,100,100
100vs200,1300,100,80,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs200,1300,100,90,PAN1,0.017,93,67,7,33,0.581,0.93,0.67,0.715,100,100
100vs200,1300,100,90,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
100vs200,1300,100,100,PAN1,0.016,95,72,5,28,0.569,0.95,0.72,0.712,100,100
100vs200,1300,100,100,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,10,10,PAN1,0.038,99,14,1,86,0.876,0.99,0.14,0.93,100,100
200vs200,1100,10,10,PAN2,0.04,98,6,2,94,0.942,0.98,0.06,0.961,100,100
200vs200,1100,10,20,PAN1,0.032,90,22,10,78,0.804,0.9,0.22,0.849,100,100
200vs200,1100,10,20,PAN2,0.016,82,21,18,79,0.796,0.82,0.21,0.808,100,100
200vs200,1100,10,30,PAN1,0.033,88,20,12,80,0.815,0.88,0.2,0.846,100,100
200vs200,1100,10,30,PAN2,0.011,85,56,15,44,0.603,0.85,0.56,0.705,100,100
200vs200,1100,10,40,PAN1,0.031,94,26,6,74,0.783,0.94,0.26,0.855,100,100
200vs200,1100,10,40,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,10,50,PAN1,0.035,91,18,9,82,0.835,0.91,0.18,0.871,100,100
200vs200,1100,10,50,PAN2,0.008,100,99,0,1,0.503,1.0,0.99,0.669,100,100
200vs200,1100,10,60,PAN1,0.028,97,34,3,66,0.74,0.97,0.34,0.84,100,100
200vs200,1100,10,60,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,10,70,PAN1,0.031,87,26,13,74,0.77,0.87,0.26,0.817,100,100
200vs200,1100,10,70,PAN2,0.003,100,99,0,1,0.503,1.0,0.99,0.669,100,100
200vs200,1100,10,80,PAN1,0.028,95,34,5,66,0.736,0.95,0.34,0.83,100,100
200vs200,1100,10,80,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,10,90,PAN1,0.031,80,26,20,74,0.755,0.8,0.26,0.777,100,100
200vs200,1100,10,90,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,10,100,PAN1,0.03,84,30,16,70,0.737,0.84,0.3,0.785,100,100
200vs200,1100,10,100,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,20,10,PAN1,0.015,81,30,19,70,0.73,0.81,0.3,0.768,100,100
200vs200,1100,20,10,PAN2,0.034,94,15,6,85,0.862,0.94,0.15,0.9,100,100
200vs200,1100,20,20,PAN1,0.019,97,10,3,90,0.907,0.97,0.1,0.937,100,100
200vs200,1100,20,20,PAN2,0.021,92,1,8,99,0.989,0.92,0.01,0.953,100,100
200vs200,1100,20,30,PAN1,0.017,94,15,6,85,0.862,0.94,0.15,0.9,100,100
200vs200,1100,20,30,PAN2,0.017,82,18,18,82,0.82,0.82,0.18,0.82,100,100
200vs200,1100,20,40,PAN1,0.02,88,8,12,92,0.917,0.88,0.08,0.898,100,100
200vs200,1100,20,40,PAN2,0.014,83,58,17,42,0.589,0.83,0.58,0.689,100,100
200vs200,1100,20,50,PAN1,0.016,97,20,3,80,0.829,0.97,0.2,0.894,100,100
200vs200,1100,20,50,PAN2,0.008,100,99,0,1,0.503,1.0,0.99,0.669,100,100
200vs200,1100,20,60,PAN1,0.019,93,10,7,90,0.903,0.93,0.1,0.916,100,100
200vs200,1100,20,60,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,20,70,PAN1,0.018,87,13,13,87,0.87,0.87,0.13,0.87,100,100
200vs200,1100,20,70,PAN2,0.003,100,99,0,1,0.503,1.0,0.99,0.669,100,100
200vs200,1100,20,80,PAN1,0.018,89,13,11,87,0.873,0.89,0.13,0.881,100,100
200vs200,1100,20,80,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,20,90,PAN1,0.017,92,15,8,85,0.86,0.92,0.15,0.889,100,100
200vs200,1100,20,90,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,20,100,PAN1,0.017,88,15,12,85,0.854,0.88,0.15,0.867,100,100
200vs200,1100,20,100,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,30,10,PAN1,0.01,92,70,8,30,0.568,0.92,0.7,0.702,100,100
200vs200,1100,30,10,PAN2,0.038,89,9,11,91,0.908,0.89,0.09,0.899,100,100
200vs200,1100,30,20,PAN1,0.015,90,28,10,72,0.763,0.9,0.28,0.826,100,100
200vs200,1100,30,20,PAN2,0.02,91,3,9,97,0.968,0.91,0.03,0.938,100,100
200vs200,1100,30,30,PAN1,0.017,90,19,10,81,0.826,0.9,0.19,0.861,100,100
200vs200,1100,30,30,PAN2,0.015,87,26,13,74,0.77,0.87,0.26,0.817,100,100
200vs200,1100,30,40,PAN1,0.015,88,28,12,72,0.759,0.88,0.28,0.815,100,100
200vs200,1100,30,40,PAN2,0.014,85,58,15,42,0.594,0.85,0.58,0.7,100,100
200vs200,1100,30,50,PAN1,0.015,86,28,14,72,0.754,0.86,0.28,0.804,100,100
200vs200,1100,30,50,PAN2,0.008,100,99,0,1,0.503,1.0,0.99,0.669,100,100
200vs200,1100,30,60,PAN1,0.015,87,28,13,72,0.757,0.87,0.28,0.809,100,100
200vs200,1100,30,60,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,30,70,PAN1,0.015,76,28,24,72,0.731,0.76,0.28,0.745,100,100
200vs200,1100,30,70,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,30,80,PAN1,0.015,77,28,23,72,0.733,0.77,0.28,0.751,100,100
200vs200,1100,30,80,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,30,90,PAN1,0.015,76,28,24,72,0.731,0.76,0.28,0.745,100,100
200vs200,1100,30,90,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,30,100,PAN1,0.011,93,61,7,39,0.604,0.93,0.61,0.732,100,100
200vs200,1100,30,100,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,40,10,PAN1,0.008,97,93,3,7,0.511,0.97,0.93,0.669,100,100
200vs200,1100,40,10,PAN2,0.031,91,21,9,79,0.812,0.91,0.21,0.858,100,100
200vs200,1100,40,20,PAN1,0.009,99,91,1,9,0.521,0.99,0.91,0.683,100,100
200vs200,1100,40,20,PAN2,0.021,85,1,15,99,0.988,0.85,0.01,0.914,100,100
200vs200,1100,40,30,PAN1,0.011,94,82,6,18,0.534,0.94,0.82,0.681,100,100
200vs200,1100,40,30,PAN2,0.015,85,26,15,74,0.766,0.85,0.26,0.806,100,100
200vs200,1100,40,40,PAN1,0.01,94,87,6,13,0.519,0.94,0.87,0.669,100,100
200vs200,1100,40,40,PAN2,0.01,99,92,1,8,0.518,0.99,0.92,0.68,100,100
200vs200,1100,40,50,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,40,50,PAN2,0.008,100,99,0,1,0.503,1.0,0.99,0.669,100,100
200vs200,1100,40,60,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,40,60,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,40,70,PAN1,0.008,97,93,3,7,0.511,0.97,0.93,0.669,100,100
200vs200,1100,40,70,PAN2,0.003,100,99,0,1,0.503,1.0,0.99,0.669,100,100
200vs200,1100,40,80,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,40,80,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,40,90,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,40,90,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,40,100,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,40,100,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,50,10,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,50,10,PAN2,0.039,90,7,10,93,0.928,0.9,0.07,0.914,100,100
200vs200,1100,50,20,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,50,20,PAN2,0.02,94,3,6,97,0.969,0.94,0.03,0.954,100,100
200vs200,1100,50,30,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,50,30,PAN2,0.016,82,21,18,79,0.796,0.82,0.21,0.808,100,100
200vs200,1100,50,40,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,50,40,PAN2,0.011,94,86,6,14,0.522,0.94,0.86,0.671,100,100
200vs200,1100,50,50,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,50,50,PAN2,0.008,100,99,0,1,0.503,1.0,0.99,0.669,100,100
200vs200,1100,50,60,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,50,60,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,50,70,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,50,70,PAN2,0.003,100,99,0,1,0.503,1.0,0.99,0.669,100,100
200vs200,1100,50,80,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,50,80,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,50,90,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,50,90,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,50,100,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,50,100,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,60,10,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,60,10,PAN2,0.037,86,11,14,89,0.887,0.86,0.11,0.873,100,100
200vs200,1100,60,20,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,60,20,PAN2,0.017,98,13,2,87,0.883,0.98,0.13,0.929,100,100
200vs200,1100,60,30,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,60,30,PAN2,0.014,87,31,13,69,0.737,0.87,0.31,0.798,100,100
200vs200,1100,60,40,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,60,40,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,60,50,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,60,50,PAN2,0.008,100,99,0,1,0.503,1.0,0.99,0.669,100,100
200vs200,1100,60,60,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,60,60,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,60,70,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,60,70,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,60,80,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,60,80,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,60,90,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,60,90,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,60,100,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,60,100,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,70,10,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,70,10,PAN2,0.031,90,21,10,79,0.811,0.9,0.21,0.853,100,100
200vs200,1100,70,20,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,70,20,PAN2,0.017,95,13,5,87,0.88,0.95,0.13,0.913,100,100
200vs200,1100,70,30,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,70,30,PAN2,0.014,82,31,18,69,0.726,0.82,0.31,0.77,100,100
200vs200,1100,70,40,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,70,40,PAN2,0.008,99,97,1,3,0.505,0.99,0.97,0.669,100,100
200vs200,1100,70,50,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,70,50,PAN2,0.008,100,99,0,1,0.503,1.0,0.99,0.669,100,100
200vs200,1100,70,60,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,70,60,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,70,70,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,70,70,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,70,80,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,70,80,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,70,90,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,70,90,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,70,100,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,70,100,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,80,10,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,80,10,PAN2,0.031,84,21,16,79,0.8,0.84,0.21,0.82,100,100
200vs200,1100,80,20,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,80,20,PAN2,0.017,94,13,6,87,0.879,0.94,0.13,0.908,100,100
200vs200,1100,80,30,PAN1,0.003,100,99,0,1,0.503,1.0,0.99,0.669,100,100
200vs200,1100,80,30,PAN2,0.014,79,31,21,69,0.718,0.79,0.31,0.752,100,100
200vs200,1100,80,40,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,80,40,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,80,50,PAN1,0.003,100,99,0,1,0.503,1.0,0.99,0.669,100,100
200vs200,1100,80,50,PAN2,0.008,100,99,0,1,0.503,1.0,0.99,0.669,100,100
200vs200,1100,80,60,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,80,60,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,80,70,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,80,70,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,80,80,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,80,80,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,80,90,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,80,90,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,80,100,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,80,100,PAN2,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,90,10,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,90,10,PAN2,0.031,85,21,15,79,0.802,0.85,0.21,0.825,100,100
200vs200,1100,90,20,PAN1,0.0,100,100,0,0,0.5,1.0,1.0,0.667,100,100
200vs200,1100,90,20,PAN2,0.02,83,3,17,97,0.965,0.83,0.03,0.892,100,100
