scope,alpha,bandwidth,distance,pan,own_kbps,own_offload,other_offload,sigma2_het,tau,n_h0_test,n_h1,fp,tp,fpr,fpr_lo,fpr_hi,tpr,tpr_lo,tpr_hi,n_undecidable_h0,n_undecidable_h1
global,0.1,100vs100,1300,PAN2,100,20,100,0.01276187,1.74608,50,100,0,91,0.0,0.0,0.0714,0.91,0.8377,0.9519,0,0
global,0.01,100vs100,1300,PAN1,100,100,200,0.01276187,3.24356,50,99,0,38,0.0,0.0,0.0714,0.3838,0.2941,0.4823,0,0
global,0.05,100vs100,1300,PAN1,100,100,200,0.01276187,2.14737,50,99,1,66,0.02,0.0035,0.105,0.6667,0.5691,0.7518,0,0
global,0.1,100vs100,1300,PAN1,100,100,200,0.01276187,1.74608,50,99,4,78,0.08,0.0315,0.1884,0.7879,0.6974,0.8569,0,0
global,0.01,100vs100,1300,PAN2,100,200,100,0.01276187,3.24356,50,100,0,17,0.0,0.0,0.0714,0.17,0.1089,0.2555,0,0
global,0.05,100vs100,1300,PAN2,100,200,100,0.01276187,2.14737,50,100,3,44,0.06,0.0206,0.1622,0.44,0.3467,0.5377,0,0
global,0.1,100vs100,1300,PAN2,100,200,100,0.01276187,1.74608,50,100,7,60,0.14,0.0695,0.2619,0.6,0.502,0.6906,0,0
global,0.01,100vs100,1300,PAN1,100,100,40,0.01276187,3.24356,50,100,0,2,0.0,0.0,0.0714,0.02,0.0055,0.07,0,0
global,0.05,100vs100,1300,PAN1,100,100,40,0.01276187,2.14737,50,100,1,13,0.02,0.0035,0.105,0.13,0.0776,0.2098,0,0
global,0.1,100vs100,1300,PAN1,100,100,40,0.01276187,1.74608,50,100,4,21,0.08,0.0315,0.1884,0.21,0.1417,0.2998,0,0
global,0.01,100vs100,1300,PAN2,100,40,100,0.01276187,3.24356,50,100,0,54,0.0,0.0,0.0714,0.54,0.4426,0.6344,0,0
global,0.05,100vs100,1300,PAN2,100,40,100,0.01276187,2.14737,50,100,0,84,0.0,0.0,0.0714,0.84,0.7558,0.899,0,0
global,0.1,100vs100,1300,PAN2,100,40,100,0.01276187,1.74608,50,100,0,95,0.0,0.0,0.0714,0.95,0.8882,0.9785,0,0
global,0.01,100vs100,1300,PAN1,100,100,60,0.01276187,3.24356,50,100,0,13,0.0,0.0,0.0714,0.13,0.0776,0.2098,0,0
global,0.05,100vs100,1300,PAN1,100,100,60,0.01276187,2.14737,50,100,1,29,0.02,0.0035,0.105,0.29,0.2101,0.3854,0,0
global,0.1,100vs100,1300,PAN1,100,100,60,0.01276187,1.74608,50,100,4,46,0.08,0.0315,0.1884,0.46,0.3656,0.5574,0,0
global,0.01,100vs100,1300,PAN2,100,60,100,0.01276187,3.24356,50,100,0,46,0.0,0.0,0.0714,0.46,0.3656,0.5574,0,0
global,0.05,100vs100,1300,PAN2,100,60,100,0.01276187,2.14737,50,100,2,73,0.04,0.011,0.1346,0.73,0.6357,0.8073,0,0
global,0.1,100vs100,1300,PAN2,100,60,100,0.01276187,1.74608,50,100,5,83,0.1,0.0435,0.2136,0.83,0.7445,0.8911,0,0
global,0.01,100vs100,1300,PAN1,100,100,80,0.01276187,3.24356,50,100,0,49,0.0,0.0,0.0714,0.49,0.3942,0.5865,0,0
global,0.05,100vs100,1300,PAN1,100,100,80,0.01276187,2.14737,50,100,1,74,0.02,0.0035,0.105,0.74,0.6463,0.816,0,0
global,0.1,100vs100,1300,PAN1,100,100,80,0.01276187,1.74608,50,100,4,82,0.08,0.0315,0.1884,0.82,0.7333,0.883,0,0
global,0.01,100vs100,1300,PAN2,100,80,100,0.01276187,3.24356,50,100,0,50,0.0,0.0,0.0714,0.5,0.4038,0.5962,0,0
global,0.05,100vs100,1300,PAN2,100,80,100,0.01276187,2.14737,50,100,2,83,0.04,0.011,0.1346,0.83,0.7445,0.8911,0,0
global,0.1,100vs100,1300,PAN2,100,80,100,0.01276187,1.74608,50,100,3,90,0.06,0.0206,0.1622,0.9,0.8256,0.9448,0,0
